config_a,config_b,metric,n,mean_a,mean_b,delta_mean,delta_ci95_low,delta_ci95_high,delta_ci95_half_width,paired_t,wins_b,wins_a,ties,paired_keys
"lambda_start_frac=1,lambda_block_cca=0.5","lambda_start_frac=1,lambda_block_cca=5",frozen_decoder_rmse_mean,5,78.75356445,81.34402008,2.590455627,1.165254939,4.015656315,1.425200688,5.046487774,5,0,0,0;1;2;3;4
"lambda_start_frac=1,lambda_block_cca=0.5","lambda_start_frac=1,lambda_block_cca=5",finetuned_decoder_r2_mean,5,0.9085499406,0.9104949474,0.001945006847,-0.001609042153,0.005499055848,0.003554049,1.519451403,4,1,0,0;1;2;3;4
"lambda_start_frac=1,lambda_block_cca=0.5","lambda_start_frac=1,lambda_block_cca=5",finetuned_decoder_rmse_mean,5,72.534552,71.77194519,-0.7626068115,-2.116286431,0.5910728076,1.353679619,-1.564133728,1,4,0,0;1;2;3;4
"lambda_start_frac=1,lambda_block_cca=1","lambda_start_frac=1,lambda_block_cca=10",mean_val_zeta,5,0.4947603047,0.1488914222,-0.3458688825,-0.358744791,-0.332992974,0.01287590851,-74.58005506,0,5,0,0;1;2;3;4
"lambda_start_frac=1,lambda_block_cca=1","lambda_start_frac=1,lambda_block_cca=10",embedding_val_zeta,5,0.448143665,0.3847127199,-0.06343094508,-0.0895078303,-0.03735405986,0.02607688522,-6.753587919,0,5,0,0;1;2;3;4
"lambda_start_frac=1,lambda_block_cca=1","lambda_start_frac=1,lambda_block_cca=10",embedding_whole_val_regularization_raw,5,0.117497,0.0029276,-0.1145694,-0.1217668895,-0.1073719105,0.007197489535,-44.19536121,0,5,0,0;1;2;3;4
"lambda_start_frac=1,lambda_block_cca=1","lambda_start_frac=1,lambda_block_cca=10",frozen_decoder_r2_mean,5,0.8950591326,0.8823479891,-0.01271114349,-0.01565207499,-0.009770211998,0.002940931495,-12.00020884,0,5,0,0;1;2;3;4
"lambda_start_frac=1,lambda_block_cca=1","lambda_start_frac=1,lambda_block_cca=10",frozen_decoder_rmse_mean,5,77.71165924,82.32510376,4.613444519,3.511234651,5.715654387,1.102209868,11.62117653,5,0,0,0;1;2;3;4
"lambda_start_frac=1,lambda_block_cca=1","lambda_start_frac=1,lambda_block_cca=10",finetuned_decoder_r2_mean,5,0.9099754214,0.9091437578,-0.0008316636086,-0.001987112458,0.0003237852407,0.001155448849,-1.998416768,0,5,0,0;1;2;3;4
"lambda_start_frac=1,lambda_block_cca=1","lambda_start_frac=1,lambda_block_cca=10",finetuned_decoder_rmse_mean,5,71.96986237,72.32418823,0.3543258667,-0.139127754,0.8477794874,0.4934536207,1.993634816,5,0,0,0;1;2;3;4
"lambda_start_frac=1,lambda_block_cca=1","lambda_start_frac=1,lambda_block_cca=2",mean_val_zeta,5,0.4947603047,0.3377571821,-0.1570031225,-0.1772594408,-0.1367468043,0.02025631829,-21.51973251,0,5,0,0;1;2;3;4
"lambda_start_frac=1,lambda_block_cca=1","lambda_start_frac=1,lambda_block_cca=2",embedding_val_zeta,5,0.448143665,0.4304546462,-0.01768901878,-0.05417155218,0.01879351462,0.0364825334,-1.346194604,2,3,0,0;1;2;3;4
"lambda_start_frac=1,lambda_block_cca=1","lambda_start_frac=1,lambda_block_cca=2",embedding_whole_val_regularization_raw,5,0.117497,0.0315262,-0.0859708,-0.09568008103,-0.07626151897,0.009709281029,-24.58402493,0,5,0,0;1;2;3;4
"lambda_start_frac=1,lambda_block_cca=1","lambda_start_frac=1,lambda_block_cca=2",frozen_decoder_r2_mean,5,0.8950591326,0.8910340309,-0.004025101662,-0.01916405663,0.01111385331,0.01513895497,-0.7381932128,3,2,0,0;1;2;3;4
"lambda_start_frac=1,lambda_block_cca=1","lambda_start_frac=1,lambda_block_cca=2",frozen_decoder_rmse_mean,5,77.71165924,79.1260025,1.414343262,-4.134214462,6.962900985,5.548557723,0.7077238125,2,3,0,0;1;2;3;4
"lambda_start_frac=1,lambda_block_cca=1","lambda_start_frac=1,lambda_block_cca=2",finetuned_decoder_r2_mean,5,0.9099754214,0.9102337956,0.0002583742142,-0.0061939134,0.006710661828,0.006452287614,0.1111794553,3,2,0,0;1;2;3;4
"lambda_start_frac=1,lambda_block_cca=1","lambda_start_frac=1,lambda_block_cca=2",finetuned_decoder_rmse_mean,5,71.96986237,71.84064636,-0.1292160034,-2.716119988,2.457687981,2.586903984,-0.1386835934,2,3,0,0;1;2;3;4
